"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"1156",125.660004,126.309998,123.529999,126.169998,370830800,107.849129
"1157",124.419998,124.620003,120.059998,120.260002,520721800,102.797325
"1158",121.760002,122.07,116.860001,120.080002,655619200,102.643448
"1159",116.910004,120.120003,112.019997,112.260002,702263900,95.958969
"1160",114.07,117.639999,110.269997,117.480003,717828700,100.42099
"1161",115.260002,116.279999,111.949997,112.290001,662607400,95.984604
"1162",113.260002,118.919998,112.32,117.330002,487979700,100.292755
"1163",118.400002,119.209999,117.279999,118.120003,313731600,100.968048
"1164",119.190002,120.739998,119,120.620003,258810600,103.105034
"1165",119.470001,120.690002,118.309998,119.589996,294095200,102.224579
"1166",120.25,121.199997,118.720001,119.669998,238201100,102.292992
"1167",116.5,119.709999,113.389999,114.510002,512956300,97.88224
"1168",112.959999,115.879997,112.5,112.639999,428281300,96.283791
"1169",115.169998,115.230003,112.410004,112.730003,275090600,96.360725
"1170",113.150002,116.57,112.580002,116.440002,331136600,99.532021
"1171",116.190002,118.239998,115.919998,118.080002,246869700,100.933853
"1172",118.730003,119.400002,115.870003,116.279999,312365400,99.395226
"1173",115.690002,118.510002,113.849998,117.970001,314495900,100.839813
"1174",119.559998,121.43,118.059998,121.360001,190977200,103.737587
"1175",120.830002,122.43,119.260002,121.68,241315700,104.011108
"1176",122.459999,123.510002,121.300003,122.220001,301828400,104.472694
"1177",122.290001,123.400002,120.779999,120.940002,254585900,103.378571
"1178",118.419998,120.870003,117.43,117.849998,255517200,100.737267
"1179",114.389999,117.160004,114.379997,116.989998,285130500,100.002129
"1180",118.760002,120.339996,118.360001,120.290001,209803200,102.82296
"1181",119.57,120.940002,118.769997,119.040001,250568200,101.754463
"1182",117.68,119.059998,115.279999,115.919998,380195100,99.087509
"1183",114.470001,116.760002,114.050003,116.669998,305793500,99.728622
"1184",117.050003,118.18,116.220001,117.739998,272514700,100.643234
"1185",118.339996,120.800003,116.720001,119.370003,319389500,102.036568
"1186",120.650002,121.470001,119.400002,121.43,326777200,103.797424
"1187",121.290001,121.970001,120.32,121.519997,284528300,104.411751
"1188",119.529999,120.93,118.720001,120.309998,241517000,103.372101
"1189",120.82,121.989998,120.010002,120.169998,218932200,103.251823
