"";"LFWA64TTUSM647S";"PAYEMS";"ratio"
"1994-05-01";165625408,690292;142410000;0,859831840574032
"1994-06-01";165726019,86113;142802500;0,861678209128906
"1994-07-01";165863938,703692;143266250;0,863757674631966
"1994-08-01";165952653,482514;143627500;0,865472753740172
"1994-09-01";166123167,5861;144063750;0,867210468553901
"1994-10-01";166273766,823396;144330000;0,868026284346447
"1994-11-01";166403657,291016;144845000;0,870443608980823
"1994-12-01";166565717,731138;145213750;0,871810550082081
"1995-01-01";166473541,643433;145635000;0,874823702086745
"1995-02-01";166621134,739855;145877500;0,875504180353579
"1995-03-01";166721790,536954;146141250;0,876557584520469
"1995-04-01";166843827,731061;146345000;0,877137632180775
"1995-05-01";166916878,428985;146320000;0,876603980239494
"1995-06-01";167044997,665553;146616250;0,877705121667551
"1995-07-01";167199207,449486;146732500;0,877590882386991
"1995-08-01";167331428,048589;147052500;0,878809807069235
"1995-09-01";167480442,077437;147351250;0,879811685306336
"1995-10-01";167594125,742095;147547500;0,880385868816524
"1995-11-01";167750205,605811;147727500;0,880639755203272
"1995-12-01";167911386,584003;147910000;0,880881297028676
"1996-01-01";167888974,73041;147903750;0,880961660749304
"1996-02-01";168054880,10738;148430000;0,883223384558422
"1996-03-01";168264681,636388;148751250;0,884031328222784
"1996-04-01";168459398,764441;148960000;0,884248674116977
"1996-05-01";168606371,852258;149370000;0,88590957956729
"1996-06-01";168801185,448258;149722500;0,886975406022216
"1996-07-01";168924899,444493;150025000;0,888116556489629
"1996-08-01";169083190,142406;150258750;0,888667583533575
"1996-09-01";169278095,878735;150522500;0,889202464256386
"1996-10-01";169371630,122615;150842500;0,890600745182644
"1996-11-01";169600809,942067;151211250;0,891571508718923
"1996-12-01";169763619,948034;151440000;0,892063918325711
"1997-01-01";170287213,211459;151715000;0,890935949557197
"1997-02-01";170447867,71241;152102500;0,892369626216953
"1997-03-01";170617850,781308;152498750;0,89380301827543
"1997-04-01";170791698,37876;152870000;0,895066923340644
"1997-05-01";170909927,887447;153196250;0,896356647583911
"1997-06-01";171064852,049853;153531250;0,897503187593771
"1997-07-01";171186619,159949;153898750;0,899011562674791
"1997-08-01";171356381,317826;153873750;0,897975020344298
"1997-09-01";171518358,950667;154492500;0,900734480816925
"1997-10-01";171625148,490574;154925000;0,90269404782778
"1997-11-01";171862444,187667;155307500;0,90367328786742
"1997-12-01";172034105,003941;155698750;0,905045833769026
"1998-01-01";172107309,091037;156028750;0,906578290161215
"1998-02-01";172283993,715636;156280000;0,907106903140106
"1998-03-01";172434964,573308;156467500;0,907400076238484
"1998-04-01";172535561,278251;156816250;0,908892339864359
"1998-05-01";172733771,679311;157318750;0,910758495403378
"1998-06-01";172885795,250203;157608750;0,911635046545647
"1998-07-01";173009987,308603;157766250;0,911890998053122
"1998-08-01";173214605,244016;158188750;0,913252954490481
"1998-09-01";173379239,097354;158455000;0,913921417725372
"1998-10-01";173509236,468536;158710000;0,914706347801723
"1998-11-01";173788175,588142;159053750;0,915216178901257
"1998-12-01";173990803,929407;159508750;0,916765405973509
"1999-01-01";174414847,779132;159641250;0,915296214930965
"1999-02-01";174549013,761133;160163750;0,917586106898209
"1999-03-01";174721121,524503;160298750;0,917454905287565
"1999-04-01";174804392,206372;160762500;0,919670827322266
"1999-05-01";174991309,701582;161027500;0,920202839070152
"1999-06-01";175172119,109979;161373750;0,921229650128763
"1999-07-01";175332352,704574;161775000;0,922676263134292
"1999-08-01";175497568,322844;161970000;0,92291877060109
"1999-09-01";175621653,663271;162226250;0,923725785608677
"1999-10-01";175886312,468428;162737500;0,925242548530954
"1999-11-01";176049519,455414;163098750;0,926436780427033
"1999-12-01";176284203,90646;163482500;0,927380311889698
"2000-01-01";178259552,811672;163775000;0,918744591337696
"2000-02-01";178323587,64884;163920000;0,919227804696236
"2000-03-01";178496816,491671;164511250;0,921648090052499
"2000-04-01";178596547,856669;164875000;0,923170139505266
"2000-05-01";178745268,817932;165147500;0,92392655253
"2000-06-01";179023291,215438;165098750;0,92221938765118
"2000-07-01";179256322,351454;165308750;0,922192019960623
"2000-08-01";179348660,100635;165300000;0,921668441276606
"2000-09-01";179526594,393467;165455000;0,921618329356672
"2000-10-01";179745468,650902;165456250;0,920503038223154
"2000-11-01";179927005,879078;165712500;0,920998485971411
"2000-12-01";180176647,022015;165902500;0,920776930540444
"2001-01-01";180371152,172013;165890000;0,919714699398256
"2001-02-01";180574621,807809;166005000;0,919315230114031
"2001-03-01";180738053,065341;165951250;0,918186553331991
"2001-04-01";180900519,416231;165593750;0,91538570776012
"2001-05-01";181045997,533693;165532500;0,914311844807252
"2001-06-01";181325638,606286;165390000;0,912115910751666
"2001-07-01";181562875,942779;165233750;0,910063520100192
"2001-08-01";181795909,043558;165053750;0,907906843824816
"2001-09-01";181982727,333537;164738750;0,905243878986755
"2001-10-01";182169502,349219;164335000;0,902099406765517
"2001-11-01";182386206,566239;163947500;0,898902954815597
"2001-12-01";182546110,274427;163746250;0,897013087563659
"2002-01-01";182570594,018489;163585000;0,896009573061003
"2002-02-01";182811586,209653;163440000;0,894035238076009
"2002-03-01";183068861,762604;163415000;0,892642246347223
"2002-04-01";183298495,051246;163295000;0,890869289212367
"2002-05-01";183503051,800726;163308750;0,889951139217805
"2002-06-01";183706798,897342;163368750;0,889290712050852
"2002-07-01";183894173,193858;163255000;0,887766029584306
"2002-08-01";184177228,329829;163253750;0,886394868032443
"2002-09-01";184319244,021149;163155000;0,88517615654543
"2002-10-01";184466406,628807;163303750;0,885276365406783
"2002-11-01";184680058,503177;163290000;0,884177757595799
"2002-12-01";184764143,415549;163110000;0,882801159276629
"2003-01-01";185634129,922308;163245000;0,879391090788756
"2003-02-01";185889948,769488;163076250;0,877273091307492
"2003-03-01";186186139,3883;162807500;0,874434050434105
"2003-04-01";186433564,321676;162742500;0,872924897360225
"2003-05-01";186682326,041154;162762500;0,871868823640643
"2003-06-01";186841519,423415;162761250;0,87111928067313
"2003-07-01";187046400,510813;162758750;0,870151735374298
"2003-08-01";187320379,066984;162708750;0,868612111562175
"2003-09-01";187480222,929379;162848750;0,868618286534376
"2003-10-01";187669048,758833;163091250;0,869036482460051
"2003-11-01";187892976,557523;163112500;0,868113875188216
"2003-12-01";188046013,87706;163256250;0,868171819407632
"2004-01-01";187663820,105355;163483750;0,871152201357831
"2004-02-01";187890163,087752;163555000;0,870481973681685
"2004-03-01";188096324,090097;163945000;0,871601296798715
"2004-04-01";188286781,070762;164282500;0,87251212786021
"2004-05-01";188523694,553377;164637500;0,873298713936385
